source_domain,source_type,min_source_priority,max_source_priority,row_count,day_count
eltiempo.com,general_news,1,1,2493,27
perfil.com,general_news,1,1,2493,27
haber7.com,general_news,1,1,2492,27
nordkurier.de,general_news,1,1,2488,27
ukrainianwall.com,general_news,1,1,2480,27
biobiochile.cl,general_news,1,1,2478,27
republika.co.id,general_news,1,1,2475,27
razon.com.mx,general_news,1,1,2452,27
1prime.ru,general_news,1,1,2450,27
protothema.gr,general_news,1,1,2446,27
aljazeera.net,general_news,1,1,2437,27
zocalo.com.mx,general_news,1,1,2437,27
fjsen.com,general_news,1,1,2423,27
andaluciainformacion.es,general_news,1,1,2422,27
eldiario.es,general_news,1,1,2416,27
sabah.com.tr,general_news,1,1,2415,27
acento.com.do,general_news,1,1,2413,27
elmundo.es,general_news,1,1,2408,27
eluniversal.com.mx,general_news,1,1,2395,27
15min.lt,general_news,1,1,2391,27
scoop.co.nz,general_news,1,1,2386,27
ryt9.com,general_news,1,1,2370,27
sot.com.al,general_news,1,1,2362,27
mignews.com,general_news,1,1,2359,27
soester-anzeiger.de,general_news,1,1,2355,27
bursahakimiyet.com.tr,general_news,1,1,2350,27
unian.net,general_news,1,1,2346,27
philenews.com,general_news,1,1,2336,27
ciudadccs.info,general_news,1,1,2334,27
stockhouse.com,general_news,1,1,2332,27
observador.pt,general_news,1,1,2328,27
jpnn.com,general_news,1,1,2322,27
athens-times.com,general_news,1,1,2317,27
botasot.info,general_news,1,1,2311,27
focus.ua,general_news,1,1,2311,27
teraz.sk,general_news,1,1,2311,27
thestar.com.my,general_news,1,1,2311,27
interfax.ru,general_news,1,1,2309,27
novosti.rs,general_news,1,1,2304,27
khaskhabar.com,general_news,1,1,2288,26
fakti.bg,general_news,1,1,2279,27
libyaakhbar.com,general_news,1,1,2278,27
epochtimes.com,general_news,1,1,2264,27
thesun.ng,general_news,1,1,2264,27
danas.rs,general_news,1,1,2262,27
jdsupra.com,general_news,1,1,2244,24
unian.ua,general_news,1,1,2243,27
dailypost.ng,general_news,1,1,2238,27
etoday.co.kr,general_news,1,1,2224,27
runews24.ru,general_news,1,1,2222,27
ura.news,general_news,1,1,2220,27
elperiodicoextremadura.com,general_news,1,1,2217,27
mdzol.com,general_news,1,1,2216,27
ici.fr,general_news,1,1,2213,27
meinbezirk.at,general_news,1,1,2211,27
borsaitaliana.it,general_news,1,1,2207,25
kathimerini.gr,general_news,1,1,2185,27
levante-emv.com,general_news,1,1,2185,27
sigmalive.com,general_news,1,1,2181,27
el-balad.com,general_news,1,1,2178,27
independent.co.uk,general_news,1,1,2162,27
ynet.co.il,general_news,1,1,2157,27
informacion.es,general_news,1,1,2153,27
elpais.com,general_news,1,1,2148,27
brasil247.com,general_news,1,1,2142,27
abc.com.py,general_news,1,1,2140,27
glavcom.ua,general_news,1,1,2137,27
pratahkal.com,general_news,1,1,2128,27
ig.com.br,general_news,1,1,2127,27
ianslive.in,general_news,1,1,2125,27
heute.at,general_news,1,1,2114,27
globalsecurity.org,general_news,1,1,2113,27
birminghammail.co.uk,general_news,1,1,2096,27
excelsior.com.mx,general_news,1,1,2096,27
elcorreo.com,general_news,1,1,2086,27
euro2day.gr,general_news,1,1,2084,27
estadao.com.br,general_news,1,1,2082,27
albayan.ae,general_news,1,1,2078,27
elimparcial.com,general_news,1,1,2073,27
eldestapeweb.com,general_news,1,1,2059,27
badische-zeitung.de,general_news,1,1,2057,27
gazeta.ua,general_news,1,1,2052,27
cairnspost.com.au,general_news,1,1,2048,27
haberaktuel.com,general_news,1,1,2044,27
bursadabugun.com,general_news,1,1,2041,27
latercera.com,general_news,1,1,2040,27
excite.co.jp,general_news,1,1,2037,27
china.com.cn,general_news,1,1,2034,27
diariosur.es,general_news,1,1,2034,27
cbc.ca,general_news,1,1,2033,27
libertaddigital.com,general_news,1,1,2031,27
abril.com.br,general_news,1,1,2016,27
nbd.com.cn,general_news,1,1,2010,27
kreisbote.de,general_news,1,1,2009,27
topontiki.gr,general_news,1,1,2009,27
telegrafi.com,general_news,1,1,2004,27
diariodemallorca.es,general_news,1,1,2002,27
news.cn,general_news,1,1,1999,27
clarin.com,general_news,1,1,1995,27
milliyet.com.tr,general_news,1,1,1986,27
dailygazette.com,general_news,1,1,1984,27
funkytaurusmedia.com,general_news,1,1,1984,27
kontan.co.id,general_news,1,1,1977,27
zeri.info,general_news,1,1,1949,27
ledauphine.com,general_news,1,1,1947,27
madhyamam.com,general_news,1,1,1943,27
m24.ru,general_news,1,1,1939,27
musavat.com,general_news,1,1,1938,27
sharemanthan.in,general_news,1,1,1938,26
elcomercio.es,general_news,1,1,1931,27
ilgazzettino.it,general_news,1,1,1926,27
mediafax.ro,general_news,1,1,1921,27
boursorama.com,general_news,1,1,1918,27
ideal.es,general_news,1,1,1913,27
news247.gr,general_news,1,1,1912,27
enikos.gr,general_news,1,1,1908,27
dailynayadiganta.com,general_news,1,1,1892,27
evrensel.net,general_news,1,1,1891,27
deccanchronicle.com,general_news,1,1,1885,27
diariolibre.com,general_news,1,1,1880,27
interfax.com.ua,general_news,1,1,1880,27
albiladpress.com,general_news,1,1,1875,27
elperiodicodearagon.com,general_news,1,1,1868,27
news.day.az,general_news,1,1,1868,27
entornointeligente.com,general_news,1,1,1867,27
skai.gr,general_news,1,1,1862,19
metroseoul.co.kr,general_news,1,1,1855,27
voria.gr,general_news,1,1,1855,27
news.dahe.cn,general_news,1,1,1848,27
onlinekhabar.com,general_news,1,1,1848,27
chinadaily.com.cn,general_news,1,1,1846,27
nwzonline.de,general_news,1,1,1845,27
telegraf.rs,general_news,1,1,1841,27
dgabc.com.br,general_news,1,1,1840,27
ibtimes.co.uk,general_news,1,1,1840,27
portfolio.hu,general_news,1,1,1838,27
haberturk.com,general_news,1,1,1830,27
hsbnoticias.com,general_news,1,1,1824,27
tanjug.rs,general_news,1,1,1824,27
chinesepress.com,general_news,1,1,1823,27
digi24.ro,general_news,1,1,1821,27
net.hr,general_news,1,1,1819,27
openpr.com,general_news,1,1,1807,24
abc.net.au,general_news,1,1,1806,27
dnews.gr,general_news,1,1,1794,27
adevarul.ro,general_news,1,1,1792,27
cretalive.gr,general_news,1,1,1791,27
yle.fi,general_news,1,1,1790,27
focus-news.net,general_news,1,1,1787,27
turkiyegazetesi.com.tr,general_news,1,1,1784,27
hangzhou.com.cn,general_news,1,1,1781,27
gdnonline.com,general_news,1,1,1777,27
punjabkesari.in,general_news,1,1,1768,27
weser-kurier.de,general_news,1,1,1768,27
que.es,general_news,1,1,1767,27
sb.by,general_news,1,1,1767,27
wnp.pl,general_news,1,1,1767,27
thetoc.gr,general_news,1,1,1763,27
correiobraziliense.com.br,general_news,1,1,1757,27
rionegro.com.ar,general_news,1,1,1751,27
rediff.com,general_news,1,1,1744,27
actualno.com,general_news,1,1,1743,27
efsyn.gr,general_news,1,1,1739,27
newpost.gr,general_news,1,1,1739,27
sofokleous10.gr,general_news,1,1,1733,27
walesonline.co.uk,general_news,1,1,1731,27
elheraldo.co,general_news,1,1,1730,27
bankier.pl,general_news,1,1,1723,27
agara.co.jp,general_news,1,1,1719,27
diariovasco.com,general_news,1,1,1715,27
expansion.com,general_news,1,1,1713,27
merdeka.com,general_news,1,1,1708,27
nzherald.co.nz,general_news,1,1,1697,27
pelop.gr,general_news,1,1,1697,27
mynet.com,general_news,1,1,1696,27
agerpres.ro,general_news,1,1,1692,27
haberyazar.com,general_news,1,1,1692,26
sofokleousin.gr,general_news,1,1,1689,27
wlz-online.de,general_news,1,1,1687,27
klaipeda.diena.lt,general_news,1,1,1684,27
dailystar.co.uk,general_news,1,1,1681,27
visir.is,general_news,1,1,1680,27
20minutes.fr,general_news,1,1,1679,27
eldia.com,general_news,1,1,1679,27
5-tv.ru,general_news,1,1,1670,27
andhrajyothy.com,general_news,1,1,1668,27
kmib.co.kr,general_news,1,1,1667,27
aiwaegypt.com,general_news,1,1,1665,26
avaz.ba,general_news,1,1,1664,27
vol.at,general_news,1,1,1663,27
diariodeibiza.es,general_news,1,1,1662,27
reporter.gr,general_news,1,1,1657,27
asiaone.com,general_news,1,1,1656,27
librered.net,general_news,1,1,1656,27
gorkhapatraonline.com,general_news,1,1,1655,27
eldiariodechihuahua.mx,general_news,1,1,1654,27
mz.de,general_news,1,1,1644,27
deshbandhu.co.in,general_news,1,1,1642,27
irishtimes.com,general_news,1,1,1640,27
antena3.ro,general_news,1,1,1638,27
jrj.com.cn,general_news,1,1,1637,27
wiadomosci.onet.pl,general_news,1,1,1637,27
teleborsa.it,general_news,1,1,1634,21
newsx.com,general_news,1,1,1633,27
vietbao.vn,general_news,1,1,1633,27
infomoney.com.br,general_news,1,1,1632,27
rundschau-online.de,general_news,1,1,1631,27
stcatharinesstandard.ca,general_news,1,1,1622,27
zaobao.com.sg,general_news,1,1,1621,27
hkcna.hk,general_news,1,1,1620,27
middleeaststar.com,general_news,1,1,1620,27
newratings.de,general_news,1,1,1617,21
rri.co.id,general_news,1,1,1614,27
koreatimes.com,general_news,1,1,1612,27
boerse-social.com,general_news,1,1,1611,27
dainiktribuneonline.com,general_news,1,1,1610,27
europesun.com,general_news,1,1,1607,27
foxnews.com,general_news,1,1,1606,27
eleconomista.com.mx,general_news,1,1,1602,27
kathimerini.com.cy,general_news,1,1,1601,27
colombia.com,general_news,1,1,1600,27
boerse-online.de,general_news,1,1,1596,27
capital.ro,general_news,1,1,1594,27
dhnet.be,general_news,1,1,1593,27
volksstimme.de,general_news,1,1,1593,27
aftonbladet.se,general_news,1,1,1590,27
novinky.cz,general_news,1,1,1589,27
elpais.com.uy,general_news,1,1,1584,27
techz.vn,general_news,1,1,1583,27
diena.lt,general_news,1,1,1574,27
panarmenian.net,general_news,1,1,1569,24
hoy.com.do,general_news,1,1,1567,27
hkcd.com,general_news,1,1,1565,27
freerepublic.com,general_news,1,1,1563,27
asiabulletin.com,general_news,1,1,1560,27
ntvbd.com,general_news,1,1,1558,27
vaartha.com,general_news,1,1,1554,27
elpuntavui.cat,general_news,1,1,1552,27
theglobeandmail.com,general_news,1,1,1552,27
bt.dk,general_news,1,1,1547,27
ilgiornale.it,general_news,1,1,1546,27
adnkronos.com,general_news,1,1,1545,27
bchomez.com,general_news,1,1,1542,21
vecernji.hr,general_news,1,1,1542,27
index.hu,general_news,1,1,1541,27
ukrinform.ua,general_news,1,1,1538,27
smh.com.au,general_news,1,1,1537,27
eldiariomontanes.es,general_news,1,1,1530,27
pressorg24.com,general_news,1,1,1530,27
hoy.es,general_news,1,1,1529,27
okezone.com,general_news,1,1,1525,27
lacronicabadajoz.com,general_news,1,1,1521,27
dnes.bg,general_news,1,1,1519,27
tribune.com.pk,general_news,1,1,1516,27
wiadomosci.wp.pl,general_news,1,1,1516,27
yicai.com,general_news,1,1,1516,27
elperiodico.cat,general_news,1,1,1513,27
arabnews.com,general_news,1,1,1510,27
breitbart.com,general_news,1,1,1507,27
sueddeutsche.de,general_news,1,1,1505,27
abcnews.com,general_news,1,1,1504,27
elnortedecastilla.es,general_news,1,1,1504,27
radiofrance.fr,general_news,1,1,1500,27
zdnet.co.kr,general_news,1,1,1498,27
expreso.ec,general_news,1,1,1497,27
harianjogja.com,general_news,1,1,1496,27
nacion.com,general_news,1,1,1495,27
nikkei.com,general_news,1,1,1494,27
standardmedia.co.ke,general_news,1,1,1492,27
bssnews.net,general_news,1,1,1490,27
maharashtratimes.com,general_news,1,1,1489,27
blueprint.ng,general_news,1,1,1484,27
r7.com,general_news,1,1,1484,27
risingbd.com,general_news,1,1,1484,21
rtvslo.si,general_news,1,1,1484,27
ilfattonisseno.it,general_news,1,1,1482,27
stock-world.de,general_news,1,1,1480,27
philstar.com,general_news,1,1,1479,27
franceinfo.fr,general_news,1,1,1478,27
trend.az,general_news,1,1,1471,27
ilmattino.it,general_news,1,1,1469,27
liga.net,general_news,1,1,1467,27
onvista.de,general_news,1,1,1463,27
jyllands-posten.dk,general_news,1,1,1462,27
express.pk,general_news,1,1,1459,27
theage.com.au,general_news,1,1,1452,27
oxfordmail.co.uk,general_news,1,1,1451,27
tele.at,general_news,1,1,1450,27
saamana.com,general_news,1,1,1445,27
ambito.com,general_news,1,1,1444,27
star.com.tr,general_news,1,1,1443,27
heraldo.es,general_news,1,1,1441,27
stern.de,general_news,1,1,1441,27
elcaribe.com.do,general_news,1,1,1438,27
dailyrecord.co.uk,general_news,1,1,1437,27
munhwa.com,general_news,1,1,1434,27
midilibre.fr,general_news,1,1,1431,27
abnews.ru,general_news,1,1,1428,27
eldia.es,general_news,1,1,1426,27
stirileprotv.ro,general_news,1,1,1426,27
dna.fr,general_news,1,1,1425,27
russiaherald.com,general_news,1,1,1424,27
leprogres.fr,general_news,1,1,1422,27
the-miyanichi.co.jp,general_news,1,1,1422,27
jornada.com.mx,general_news,1,1,1418,27
ilsole24ore.com,general_news,1,1,1417,27
haribhoomi.com,general_news,1,1,1415,27
az.trend.az,general_news,1,1,1413,27
manchestereveningnews.co.uk,general_news,1,1,1413,27
lasprovincias.es,general_news,1,1,1410,27
alo.rs,general_news,1,1,1409,27
cqnews.net,general_news,1,1,1409,27
aravot.am,general_news,1,1,1408,27
ntdtv.com,general_news,1,1,1408,27
cnbc.com,general_news,1,1,1407,27
sangbadpratidin.in,general_news,1,1,1406,27
caijing.com.cn,general_news,1,1,1403,27
israelnationalnews.com,general_news,1,1,1403,27
gizmodo.com,general_news,1,1,1398,27
washingtonexaminer.com,general_news,1,1,1394,27
cafebiz.vn,general_news,1,1,1393,27
baophapluat.vn,general_news,1,1,1392,27
liverpoolecho.co.uk,general_news,1,1,1392,27
sina.com.hk,general_news,1,1,1391,27
segye.com,general_news,1,1,1390,27
punjabitribuneonline.com,general_news,1,1,1380,27
heraldglobe.com,general_news,1,1,1379,27
sdpnoticias.com,general_news,1,1,1379,27
mathrubhumi.com,general_news,1,1,1374,27
perthnow.com.au,general_news,1,1,1374,27
emaratalyoum.com,general_news,1,1,1372,27
vietstock.vn,general_news,1,1,1372,27
chinanews.com.cn,general_news,1,1,1368,27
athina984.gr,general_news,1,1,1364,27
news.bg,general_news,1,1,1362,27
newsway.co.kr,general_news,1,1,1360,27
brisbanetimes.com.au,general_news,1,1,1359,27
ultimahora.es,general_news,1,1,1359,27
rbc.ua,general_news,1,1,1357,27
vov.vn,general_news,1,1,1356,12
kikar.co.il,general_news,1,1,1355,27
romaniatv.net,general_news,1,1,1354,27
bbc.com,general_news,1,1,1353,27
udayavani.com,general_news,1,1,1353,27
dn.se,general_news,1,1,1352,27
glavred.info,general_news,1,1,1351,27
iranherald.com,general_news,1,1,1351,27
laverdad.es,general_news,1,1,1350,27
dailykos.com,general_news,1,1,1349,27
nakanune.ru,general_news,1,1,1348,27
estrepublicain.fr,general_news,1,1,1347,27
247wallst.com,general_news,1,1,1345,27
cnet.com,general_news,1,1,1342,27
larepublica.co,general_news,1,1,1341,27
b92.net,general_news,1,1,1339,27
dailyexcelsior.com,general_news,1,1,1339,27
elfinanciero.com.mx,general_news,1,1,1338,27
thenorthernecho.co.uk,general_news,1,1,1336,27
unternehmen-heute.de,general_news,1,1,1335,27
elmanana.com.mx,general_news,1,1,1332,27
standartnews.com,general_news,1,1,1332,27
leadership.ng,general_news,1,1,1331,27
itnewsonline.com,general_news,1,1,1330,27
latimes.com,general_news,1,1,1328,27
bursa.ro,general_news,1,1,1325,27
siasat.com,general_news,1,1,1325,27
lapresse.ca,general_news,1,1,1324,27
kienthuc.net.vn,general_news,1,1,1323,27
express.de,general_news,1,1,1322,27
eluniversal.com.co,general_news,1,1,1321,27
haber1.com,general_news,1,1,1320,27
hurriyet.com.tr,general_news,1,1,1316,27
hnonline.sk,general_news,1,1,1315,27
hotnews.ro,general_news,1,1,1313,27
diariocorreo.pe,general_news,1,1,1310,27
aksam.com.tr,general_news,1,1,1308,27
laopiniondemurcia.es,general_news,1,1,1308,27
lacerca.com,general_news,1,1,1306,27
vv.com.ua,general_news,1,1,1306,25
aawsat.com,general_news,1,1,1305,27
elcorreogallego.es,general_news,1,1,1302,27
freiepresse.de,general_news,1,1,1302,27
lurer.com,general_news,1,1,1302,26
odatv.com,general_news,1,1,1302,27
wallstreetcn.com,general_news,1,1,1301,27
vanguardia.com.mx,general_news,1,1,1299,27
planoinformativo.com,general_news,1,1,1298,27
zn.ua,general_news,1,1,1297,27
slobodna-bosna.ba,general_news,1,1,1290,27
laopiniondezamora.es,general_news,1,1,1288,27
correiodopovo.com.br,general_news,1,1,1287,27
gazetadopovo.com.br,general_news,1,1,1283,27
scmp.com,general_news,1,1,1281,27
sindonews.com,general_news,1,1,1281,27
dailypioneer.com,general_news,1,1,1278,27
asahi.com,general_news,1,1,1276,27
singtaousa.com,general_news,1,1,1275,27
businesstoday.in,general_news,1,1,1274,27
eluniverso.com,general_news,1,1,1273,27
akhbarelyom.com,general_news,1,1,1272,27
cronicadecantabria.com,general_news,1,1,1271,27
elperiodicomediterraneo.com,general_news,1,1,1262,27
rp.pl,general_news,1,1,1262,27
athensvoice.gr,general_news,1,1,1261,27
lafm.com.co,general_news,1,1,1261,27
regio7.cat,general_news,1,1,1260,27
thisisoxfordshire.co.uk,general_news,1,1,1260,27
natalie.mu,general_news,1,1,1259,27
baodautu.vn,general_news,1,1,1257,27
jornaleconomico.sapo.pt,general_news,1,1,1257,27
niagarafallsreview.ca,general_news,1,1,1256,27
kurier.at,general_news,1,1,1255,27
mundiario.com,general_news,1,1,1253,27
nuevodiarioweb.com.ar,general_news,1,1,1252,27
phunutoday.vn,general_news,1,1,1252,27
fontanka.ru,general_news,1,1,1249,27
puentelibre.mx,general_news,1,1,1249,27
inews24.com,general_news,1,1,1247,27
inn.co.il,general_news,1,1,1247,27
finanza.lastampa.it,general_news,1,1,1246,21
jang.com.pk,general_news,1,1,1245,27
ddaily.co.kr,general_news,1,1,1244,27
fedpress.ru,general_news,1,1,1244,27
lalibre.be,general_news,1,1,1244,27
delfi.lt,general_news,1,1,1242,27
lb.ua,general_news,1,1,1240,27
elsiglodetorreon.com.mx,general_news,1,1,1238,23
jurnalul.ro,general_news,1,1,1237,27
kbs.co.kr,general_news,1,1,1237,27
ultimahora.com,general_news,1,1,1236,27
newsghana.com.gh,general_news,1,1,1231,27
vm.ru,general_news,1,1,1227,27
presseportal.de,general_news,1,1,1226,27
rawstory.com,general_news,1,1,1223,27
thisdaylive.com,general_news,1,1,1223,27
